"Month","Passengers","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","t","t_square","Log_Passengers"
2000-10-01,229,0,0,0,0,0,0,0,0,0,1,0,0,70,4900,5.43372200355424
2000-11-01,203,0,0,0,0,0,0,0,0,0,0,1,0,71,5041,5.31320597904179
2000-12-01,229,0,0,0,0,0,0,0,0,0,0,0,1,72,5184,5.43372200355424
2001-01-01,242,1,0,0,0,0,0,0,0,0,0,0,0,73,5329,5.48893772615669
2001-02-01,233,0,1,0,0,0,0,0,0,0,0,0,0,74,5476,5.4510384535657
2001-03-01,267,0,0,1,0,0,0,0,0,0,0,0,0,75,5625,5.58724865840025
2001-04-01,269,0,0,0,1,0,0,0,0,0,0,0,0,76,5776,5.59471137960184
2001-05-01,270,0,0,0,0,1,0,0,0,0,0,0,0,77,5929,5.59842195899838
2001-06-01,315,0,0,0,0,0,1,0,0,0,0,0,0,78,6084,5.75257263882563
2001-07-01,364,0,0,0,0,0,0,1,0,0,0,0,0,79,6241,5.89715386763674
2001-08-01,347,0,0,0,0,0,0,0,1,0,0,0,0,80,6400,5.84932477994686
2001-09-01,312,0,0,0,0,0,0,0,0,1,0,0,0,81,6561,5.74300318780948
2001-10-01,274,0,0,0,0,0,0,0,0,0,1,0,0,82,6724,5.61312810638807
2001-11-01,237,0,0,0,0,0,0,0,0,0,0,1,0,83,6889,5.46806014113513
2001-12-01,278,0,0,0,0,0,0,0,0,0,0,0,1,84,7056,5.62762111369064
2002-01-01,284,1,0,0,0,0,0,0,0,0,0,0,0,85,7225,5.64897423816121
2002-02-01,277,0,1,0,0,0,0,0,0,0,0,0,0,86,7396,5.62401750618734
2002-03-01,317,0,0,1,0,0,0,0,0,0,0,0,0,87,7569,5.75890177387728
2002-04-01,313,0,0,0,1,0,0,0,0,0,0,0,0,88,7744,5.74620319054015
2002-05-01,318,0,0,0,0,1,0,0,0,0,0,0,0,89,7921,5.76205138278018
2002-06-01,374,0,0,0,0,0,1,0,0,0,0,0,0,90,8100,5.92425579741453
2002-07-01,413,0,0,0,0,0,0,1,0,0,0,0,0,91,8281,6.02344759296103
2002-08-01,405,0,0,0,0,0,0,0,1,0,0,0,0,92,8464,6.00388706710654
2002-09-01,355,0,0,0,0,0,0,0,0,1,0,0,0,93,8649,5.87211778947542
2002-10-01,306,0,0,0,0,0,0,0,0,0,1,0,0,94,8836,5.72358510195238
2002-11-01,271,0,0,0,0,0,0,0,0,0,0,1,0,95,9025,5.6021188208797
2002-12-01,306,0,0,0,0,0,0,0,0,0,0,0,1,96,9216,5.72358510195238
